Data_Source,phcf_uuid,edrpou,phcf_title,care_type_en,care_type_uk,sdps,email,website,phone,owner_name,address,lat,lng,Admin1_Pcode,Admin1_Name,Admin2_Pcode,Admin2_Name,Admin3_Pcode,Admin3_Name,Admin4_Pcode,Admin4_Name,edrpou_raw,gov_type,Trained,Kobo_Trained
NHSU Dataset,0ea4d621-1115-420d-a811-06dac8ad24fc,ID_01111701,КНП СИНЕЛЬНИКІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ СИНЕЛЬНИКІВСЬКОЇ МІСЬКОЇ РАДИ,Primary,Первинна,,01111701@ukr.net,,tel:+380992608243,Сачко Олена Ігорівна,"Україна, 52500, Дніпропетровська обл., місто Синельникове, ВУЛИЦЯ  ВИКОНКОМІВСЬКА , будинок 32",48.325378,35.531308,UA12,Dnipropetrovska,UA1214,Synelnykivskyi,UA1214031,Synelnykivska,UA1214031001,Synelnykove,1111701,public,1,
NHSU Dataset,31a3c702-0f83-4521-bb55-17076c359aca,ID_01981655,КНП ЦПМСД РУСАНІВКА ДНІПРОВСЬКОГО РАЙОНУ М.КИЄВА,Specialized,Спеціалізована,3,psl_rusanivka_med1@ukr.net,https://www.rusanivka.com.ua,tel:+380442953949,Буглак Наталія Володимирівна,,50.444536,30.592994,UA80,Kyiv,UA8000,Kyiv,UA8000000,Kyiv,UA8000000000,Kyiv,1981655,public,1,
NHSU Dataset,1244544d-22fb-457c-9704-333cd9c4a977,ID_01988226,КП КНП ЦЕНТРАЛЬНА ЛІКАРНЯ КРИНИЧАНСЬКОЇ СЕЛИЩНОЇ РАДИ,Specialized,Спеціалізована,,krincrl@ukr.net,,tel:+380688245866,Рачко Олеся Миколаївна,"Україна, 52300, Дніпропетровська обл., Криничанський р-н, селище міського типу Кринички, ВУЛИЦЯ ГЕРОЇВ ЧОРНОБИЛЯ , будинок 22",47.586182,34.402391,UA12,Dnipropetrovska,UA1204,Kam’ianskyi,UA1204017,Krynychanska,UA1204017001,Krynychky,1988226,public,1,
NHSU Dataset,864f1cb8-03f6-42f8-84af-1a02f435699c,ID_01993629,КНП ЗАБОЛОТІВСЬКОЇ СЕЛИЩНОЇ РАДИ ЗАБОЛОТІВСЬКА БАГАТОПРОФІЛЬНА ЛІКАРНЯ,Primary,Первинна,,zabolotivrl@gmail.com,,tel:+380347643534,Дрогомерецька Галина Михайлівна,"Україна, 78315, Івано-Франківська обл., Коломийський р-н, селище міського типу Заболотів(з), вул.Хмельницького Б., будинок 10",48.468716,25.284931,UA26,Ivano-Frankivska,UA2608,Kolomyiskyi,UA2608005,Zabolotivska,UA2608005001,Zabolotiv,1993629,public,1,
NHSU Dataset,1ae4da5b-2d93-4307-9a4f-bac900cefc5a,ID_01994409,КНП ІВАНКІВСЬКОЇ СЕЛИЩНОЇ РАДИ ІВАНКІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ,Primary,Первинна,1,narkolog_50@ukr.net,,"tel:+380677764810, +380459151338",Лещенко Марія Миколаївна,,50.943308,29.90004,UA32,Kyivska,UA3210,Vyshhorodskyi,UA3210005,Ivankivska,UA3210005001,Ivankiv,1994409,public,1,yes
NHSU Dataset,76f3a33d-59df-4561-9fb2-88bb8dfcf640,ID_01994600,КНП БІЛОЦЕРКІВСЬКОЇ МІСЬКОЇ РАДИ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №2,Primary,Первинна,,bc.cpmsd2@ukr.net,,tel:+380965353595,Музиченко Галина Миколаївна,"Україна, 09117, Київська обл., Білоцерківський р-н, місто Біла Церква, вул.Шевченка, будинок 69",49.789114,30.125997,UA32,Kyivska,UA3202,Bilotserkivskyi,UA3202001,Bilotserkivska,UA3202001001,Bila Tserkva,1994600,public,1,
NHSU Dataset,643a78c0-fbc7-4a9d-8985-e9724a3f552d,ID_01996674,КНП 6-А МІСЬКА ПОЛІКЛІНІКА М. ЛЬВОВА,Primary,Первинна,2,metkomar@gmail.com,https://medova.com.ua,tel:+380322514687,Маряна МЕТКО,,49.826763,24.073986,UA46,Lvivska,UA4606,Lvivskyi,UA4606025,Lvivska,UA4606025001,Lviv,1996674,public,1,yes
NHSU Dataset,80a34da2-29d3-4ea9-82ed-a532675b04fa,ID_01996869,КНПЦЕНТРАЛЬНА МІСЬКА ЛІКАРНЯ ШЕПТИЦЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,cherv-likarnya@ukr.net,,"tel:+380975227625, +380324938229",Грондзаль Ігор Володимирович,"Україна, 80100, Львівська обл., Шептицький р-н, місто Шептицький, вул.Івасюка, будинок 2",50.389173,24.248151,UA46,Lvivska,UA4612,Chervonohradskyi,UA4612013,Chervonohradska,UA4612013001,Chervonohrad,1996869,public,1,
NHSU Dataset,3ef9c842-1dea-41d5-95a8-b16b4e03e248,ID_01997297,КНП СТАРОСАМБІРСЬКОЇ МІСЬКОЇ РАДИ СТАРОСАМБІРСЬКА РАЙОННА ЛІКАРНЯ,Primary,Первинна,,strscrlnova@gmail.com,,tel:+380680044103,Юрчак Мар'яна Зіновіївна,"Україна, 82000, Львівська обл., Самбірський р-н, місто Старий Самбір, вул.Галицького Л., будинок 86",49.501228,23.202371,UA46,Lvivska,UA4608,Sambirskyi,UA4608015,Starosambirska,UA4608015001,Staryi Sambir,1997297,public,1,
NHSU Dataset,1413b343-b06e-4eab-976d-ad7b29853ba2,ID_01997372,КНП СКОЛІВСЬКА ЦЕНТРАЛЬНА ЛІКАРНЯ СКОЛІВСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,skole_crl@ukr.net,,tel:+380325121187,Андрусишин Олег Ярославович,"Україна, 82600, Львівська обл., Стрийський р-н, місто Сколе, вул.Ушневича Олега Героя, будинок 29",49.040178,23.512916,UA46,Lvivska,UA4610,Stryiskyi,UA4610019,Skolivska,UA4610019001,Skole,1997372,public,1,
NHSU Dataset,20cd5b59-6b12-4541-8cd6-bc70744a444a,ID_02001506,КНП МІСЬКА ПОЛІКЛІНІКА № 6 ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,1,"zianolga93@gmail,com",http://6pol.city.kharkov.ua,tel:+380577255700,Жиян Ольга Станіславівна,,49.994552,36.336666,UA63,Kharkivska,UA6312,Kharkivskyi,UA6312027,Kharkivska,UA6312027001,Kharkiv,2001506,public,1,yes
NHSU Dataset,3356d9ae-3cd6-4a02-b22b-ea6503748dd7,ID_02003764,КНП МІСЬКА ДИТЯЧА ПОЛІКЛІНІКА №23 ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ,Primary,Первинна,4,zolottcee@gmail.com,,tel:+380577255655,Козлова Марина Олександрівна,,50.00186,36.264023,UA63,Kharkivska,UA6312,Kharkivskyi,UA6312027,Kharkivska,UA6312027001,Kharkiv,2003764,public,1,yes
NHSU Dataset,5b35b494-2241-444d-bd2a-848de781209d,ID_02004216,КНП ''ГОРОДОЦЬКА МІСЬКА БАГАТОПРОФІЛЬНА ЛІКАРНЯ'' ГОРОДОЦЬКОЇ МІСЬКОЇ РАДИ ХМЕЛЬНИЦЬКОЇ ОБЛАСТІ,Specialized,Спеціалізована,,gorodok3@ukr.net,,tel:+380385131132,Кушнір Олександр Володимирович,"Україна, 32000, Хмельницька обл., Хмельницький р-н, місто Городок, вул.Шевченка Т., будинок 40",49.174839,26.5713,UA68,Khmelnytska,UA6804,Khmelnytskyi,UA6804013,Horodotska,UA6804013001,Horodok,2004216,public,1,
NHSU Dataset,56e6d91e-c26b-453d-aced-efd2bdf49c06,ID_02006722,КНП КЛІНІКА СІМЕЙНИЙ ЛІКАР ШИРОКІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ЗАПОРІЗЬКОГО РАЙОНУ ЗАПОРІЗЬКОЇ ОБЛАСТІ,Primary,Первинна,,irishashk@gmail.com,,tel:+380617648601,Шкабарня Ірина Валеріївна,"Україна, 70401, Запорізька обл., Запорізький р-н, село Миколай-Поле, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 46-А",48.074363,34.897369,UA23,Zaporizka,UA2306,Zaporizkyi,UA2306033,Shyrokivska,UA2306033017,Mykolai-Pole,2006722,public,1,
NHSU Dataset,1bf07839-a5e5-4f27-844d-d784f13e17d5,ID_02064116,КНП ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ № 1 ДЕСНЯНСЬКОГО РАЙОНУ М. КИЄВА,Specialized,Спеціалізована,,yuristdaria@gmail.com,,tel:+380445152422,Батін Валерій Олександрович,"Україна, 02222, місто Київ, пр.Червоної Калини, будинок 32-Б",50.50952,30.612418,UA80,Kyiv,UA8000,Kyiv,UA8000000,Kyiv,UA8000000000,Kyiv,2064116,public,1,
NHSU Dataset,90bcde22-1d71-4143-a16e-76f5d3eebebe,ID_02774438,КНП ДИТЯЧА МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 3 ОДЕСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,dgb3@ukr.net,,tel:+380487505730,Артьомова Олена Миколаївна,"Україна, 65025, Одеська обл., місто Одеса, ВУЛИЦЯ АКАДЕМІКА ЗАБОЛОТНОГО, будинок 26-А",46.586622,30.782012,UA51,Odeska,UA5110,Odeskyi,UA5110027,Odeska,UA5110027001,Odesa,2774438,public,1,
NHSU Dataset,6b78932b-1ce1-40be-991a-a2dba0017bee,ID_02774697,КНП ДИТЯЧА МІСЬКА ПОЛІКЛІНІКА № 5 ОДЕСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,dgp5od@gmail.com,,"tel:+380677630440, +380487624391",Бондаренко Наталія Леонідівна,"Україна, 65072, Одеська обл., місто Одеса, ВУЛИЦЯ ГЕНЕРАЛА ПЕТРОВА, будинок 80",46.44184,30.694952,UA51,Odeska,UA5110,Odeskyi,UA5110027,Odeska,UA5110027001,Odesa,2774697,public,1,
NHSU Dataset,1e0de24a-747b-4e2d-8658-be174343df07,ID_02774705,КНП ДИТЯЧА МІСЬКА ПОЛІКЛІНІКА № 6 ОДЕСЬКОЇ МІСЬКОЇ РАДИ,Specialized,Спеціалізована,,odgpol6@gmail.com,,tel:+380487972728,Горіщак Сергій Петрович,"Україна, 65022, Одеська обл., місто Одеса, пр.Ярослава Мудрого князя, будинок 32 А",46.398569,30.712167,UA51,Odeska,UA5110,Odeskyi,UA5110027,Odeska,UA5110027001,Odesa,2774705,public,1,
