legal_entity_edrpou,legal_entity_name,residence_settlement_koatuu,residence_settlement_upd,Count of division_id,ent_num,ent_name,entity_num_id,entity_id,admin1,admin2,admin3,admin4,section,bnfc_group.bnfc_grp,Status
00184945,"КНП ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)",8000000000,КИЇВ,5,0018494501,"[КИЇВ] КНП ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)",HCF (0018494501),"HCF (0018494501) - [КИЇВ] КНП ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)",Kyiv - Київ - UA80,Kyiv - Київ - UA8000,Kyiv - Київ - UA8000000,Kyiv - Київ - UA8000000000,Health,Healthcare Facility,Active
00185028,"КНП ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)",8000000000,КИЇВ,12,0018502801,"[КИЇВ] КНП ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)",HCF (0018502801),"HCF (0018502801) - [КИЇВ] КНП ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №5"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)",Kyiv - Київ - UA80,Kyiv - Київ - UA8000,Kyiv - Київ - UA8000000,Kyiv - Київ - UA8000000000,Health,Healthcare Facility,Active
00214534,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЗАВОД ПІВДЕНКАБЕЛЬ""",6310100000,ХАРКІВ,1,0021453401,"[ХАРКІВ] ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЗАВОД ПІВДЕНКАБЕЛЬ""",HCF (0021453401),"HCF (0021453401) - [ХАРКІВ] ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЗАВОД ПІВДЕНКАБЕЛЬ""",Kharkivska - Харківська - UA63,Kharkivskyi - Харківський - UA6312,Kharkivska - Харківська - UA6312027,Kharkiv - Харків - UA6312027001,Health,Healthcare Facility,Active
00440221,"КНП ""МІСЬКА ЛІКАРНЯ №8"" ЗАПОРІЗЬКОЇ МІСЬКОЇ РАДИ",2310100000,ЗАПОРІЖЖЯ,4,0044022101,"[ЗАПОРІЖЖЯ] КНП ""МІСЬКА ЛІКАРНЯ №8"" ЗАПОРІЗЬКОЇ МІСЬКОЇ РАДИ",HCF (0044022101),"HCF (0044022101) - [ЗАПОРІЖЖЯ] КНП ""МІСЬКА ЛІКАРНЯ №8"" ЗАПОРІЗЬКОЇ МІСЬКОЇ РАДИ",Zaporizka - Запорізька - UA23,Zaporizkyi - Запорізький - UA2306,Zaporizka - Запорізька - UA2306007,Zaporizhzhia - Запоріжжя - UA2306007001,Health,Healthcare Facility,Active
01107935,"КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",3211200000,ФАСТІВ,4,0110793501,"[ФАСТІВ] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",HCF (0110793501),"HCF (0110793501) - [ФАСТІВ] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",Kyivska - Київська - UA32,Fastivskyi - Фастівський - UA3214,Fastivska - Фастівська - UA3214015,Fastiv - Фастів - UA3214015001,Health,Healthcare Facility,Active
01107935,"КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",3224955300,БОРОВА,1,0110793502,"[БОРОВА] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",HCF (0110793502),"HCF (0110793502) - [БОРОВА] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",Kyivska - Київська - UA32,Fastivskyi - Фастівський - UA3214,Fastivska - Фастівська - UA3214015,Borova - Борова - UA3214015002,Health,Healthcare Facility,Active
01107935,"КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",3224981201,ВЕЛИКА СНІТИНКА,1,0110793503,"[ВЕЛИКА СНІТИНКА] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",HCF (0110793503),"HCF (0110793503) - [ВЕЛИКА СНІТИНКА] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",Kyivska - Київська - UA32,Fastivskyi - Фастівський - UA3214,Fastivska - Фастівська - UA3214015,Velyka Snitynka - Велика Снітинка - UA3214015006,Health,Healthcare Facility,Active
01107935,"КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",3224984201,МАЛА СНІТИНКА,1,0110793504,"[МАЛА СНІТИНКА] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",HCF (0110793504),"HCF (0110793504) - [МАЛА СНІТИНКА] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",Kyivska - Київська - UA32,Fastivskyi - Фастівський - UA3214,Fastivska - Фастівська - UA3214015,Mala Snitynka - Мала Снітинка - UA3214015012,Health,Healthcare Facility,Active
01107935,"КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",3224986201,ТОМАШІВКА,1,0110793505,"[ТОМАШІВКА] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",HCF (0110793505),"HCF (0110793505) - [ТОМАШІВКА] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",Kyivska - Київська - UA32,Fastivskyi - Фастівський - UA3214,Tomashivska - Томашівська - UA3214013,Tomashivka - Томашівка - UA3214013001,Health,Healthcare Facility,Active
01107935,"КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",3224986901,ФАСТІВЕЦЬ,1,0110793506,"[ФАСТІВЕЦЬ] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",HCF (0110793506),"HCF (0110793506) - [ФАСТІВЕЦЬ] КНП ФАСТІВСЬКОЇ МІСЬКОЇ РАДИ""ФАСТІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ (МЕДИКО-САНІТАРНОЇ) ДОПОМОГИ""",Kyivska - Київська - UA32,Fastivskyi - Фастівський - UA3214,Fastivska - Фастівська - UA3214015,Fastivets - Фастівець - UA3214015018,Health,Healthcare Facility,Active
