Data_Source,legal_entity_id,legal_edrpou_id,legal_title,legal_lat,legal_lng,Distance,division_id,division_name,division_type,division_phone,division_email,residence_area,residence_gromada_name,residence_gromada_koatuu,residence_region,residence_settlement_type,residence_settlement,residence_settlement_koatuu,residence_addresses,location,sdp_lat,sdp_lng,Admin1_Pcode,Admin1_Name,Admin2_Pcode,Admin2_Name,Admin3_Pcode,Admin3_Name,Admin4_Pcode,Admin4_Name,hf_type,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,0.003598455,3e866bf1-53fd-45fc-ab44-a53240290e4b,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 1 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,МУКАЧІВСЬКА,2110400000,МУКАЧІВСЬКИЙ,місто,МУКАЧЕВО,2110400000,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, місто МУКАЧЕВО, вулиця Ярослава Мудрого, 48",01010000009E98F56228B73640FAF202ECA3374840,48.43469,22.71546,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,UA2104015001,Mukachevo,Ambulotory,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,1.622211707,1e8ec99f-2aef-49ef-b300-2ba703ac0b02,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 10 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,МУКАЧІВСЬКА,2110400000,МУКАЧІВСЬКИЙ,місто,МУКАЧЕВО,2110400000,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, місто МУКАЧЕВО, вулиця Франка Івана, 65-С",010100000016855D143DBC364015CAC2D7D7364840,48.428462,22.735307,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,UA2104015001,Mukachevo,Ambulotory,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,11.18387722,de5fc703-d4a6-44d3-bf65-532ac4710344,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 11 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,МУКАЧІВСЬКА,2110400000,МУКАЧІВСЬКИЙ,село,ДЕРЦЕН,2122782001,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, село ДЕРЦЕН, вулиця Ракоці, 72",0101000000C311A452ECAC3640AD50A4FB392B4840,48.337707,22.675481,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,UA2104015004,Dertsen,Ambulotory,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,6.620416861,c9006f93-2582-4b6d-8bb1-1249f3f002a3,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 12 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,МУКАЧІВСЬКА,2110400000,МУКАЧІВСЬКИЙ,село,НОВЕ ДАВИДКОВО,2122785801,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, село НОВЕ ДАВИДКОВО, вулиця Івана Франка, 9",01010000002D27A1F485A03640D6011077F5384840,48.444991,22.627044,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,UA2104015013,Nove Davydkovo,Ambulotory,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,16.25020731,7d56aab7-5cf1-4667-9bdd-33511abb4160,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 13 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,МУКАЧІВСЬКА,2110400000,ХУСТСЬКИЙ,село,ДОРОБРАТОВО,2121983201,"ЗАКАРПАТСЬКА область, ХУСТСЬКИЙ район, село ДОРОБРАТОВО, вулиця Миру, 12",0101000000FCC8AD49B7E536405D8C81751C2D4840,48.352431,22.897328,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,UA2104015005,Dorobratovo,Ambulotory,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,14.86181748,4f1b867a-f871-42a4-98fd-5e00301ae580,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 14 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,МУКАЧІВСЬКА,2110400000,МУКАЧІВСЬКИЙ,село,ЗАВИДОВО,2122782401,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, село ЗАВИДОВО, вулиця Миру, 99а",01010000003CF88903E8E736401E87C1FC15324840,48.391296,22.905884,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,UA2104015006,Zavydovo,Ambulotory,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,5.394990853,27061297-d5d6-45e9-94c0-b024a18a7559,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 16 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,МУКАЧІВСЬКА,2110400000,МУКАЧІВСЬКИЙ,село,КЛЮЧАРКИ,2122783801,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, село КЛЮЧАРКИ, вулиця Ладанія Юрія, 19",0101000000B62FA017EEA43640249BABE639364840,48.423642,22.644258,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,UA2104015008,Kliucharky,Ambulotory,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,13.05007702,ed5fccbc-26a3-4236-8f7f-0e9b069eb0da,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 17 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,МУКАЧІВСЬКА,2110400000,МУКАЧІВСЬКИЙ,село,ЗАЛУЖЖЯ,2122782601,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, село ЗАЛУЖЖЯ, вулиця Цібере Павла, 19",0101000000C4978922A4DA364041BAD8B4522E4840,48.361899,22.854067,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,UA2104015007,Zaluzhzhia,Ambulotory,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,2.240804031,1a8ec620-5ac0-4dae-93fb-d9ab321a1abf,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 18 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,МУКАЧІВСЬКА,2110400000,МУКАЧІВСЬКИЙ,місто,МУКАЧЕВО,2110400000,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, місто МУКАЧЕВО, вулиця Франка Івана, 152-Б",010100000043E6CAA0DABC3640DF8B2FDAE3354840,48.421016,22.737711,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104015,Mukachivska,UA2104015001,Mukachevo,Ambulotory,,
NHSU Dataset,00e03ca6-f1ed-46ce-bc6a-32bc695536ef,ID_40390032,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО МЕДИЧНИЙ ЦЕНТР СІМ'Я,48.434721,22.715446,9.479328468,13ffe947-5069-4491-b465-c4d664541de9,АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ № 19 КНП МЕДИЧНИЙ ЦЕНТР СІМ'Я,Амбулаторія,tel:+380950000343,pmdmukachevo@mukachevo-rada.gov.ua,ЗАКАРПАТСЬКА,ЧИНАДІЇВСЬКА,2122755500,МУКАЧІВСЬКИЙ,смт,ЧИНАДІЙОВО,2122755500,"ЗАКАРПАТСЬКА область, МУКАЧІВСЬКИЙ район, смт. ЧИНАДІЙОВО, вулиця Волошина, 115",010100000036E84B6F7FD23640CC441152B73D4840,48.482157,22.822257,UA21,Zakarpatska,UA2104,Mukachivskyi,UA2104025,Chynadiivska,UA2104025001,Chynadiiovo,Ambulotory,,
